@count,@template,@template-back,image
0,"templates/card.html","templates/leader-back.html","none"
1,"^","^","{{ images/card-leader-front.png copy-only }}"
0,"templates/card.html","templates/trick-back.html","none"
3,"^","^","{{ images/card-trick-front-2-ollie.png copy-only }}"
2,"^","^","{{ images/card-trick-front-2-ollie-alternate.png copy-only }}"
5,"^","^","{{ images/card-trick-front-2-shuv-it.png copy-only }}"
2,"^","^","{{ images/card-trick-front-3-kickflip.png copy-only }}"
2,"^","^","{{ images/card-trick-front-3-kickflip-alternate.png copy-only }}"
4,"^","^","{{ images/card-trick-front-3-heelflip.png copy-only }}"
5,"^","^","{{ images/card-trick-front-4-impossible.png copy-only }}"
4,"^","^","{{ images/card-trick-front-5-360-flip.png copy-only }}"
3,"^","^","{{ images/card-trick-front-6-hardflip.png copy-only }}"
0,"templates/card.html","templates/action-back.html","none"
4,"^","^","{{ images/card-action-front-1-focus.png copy-only }}"
4,"^","^","{{ images/card-action-front-2-psyche.png copy-only }}"
2,"^","^","{{ images/card-action-front-3-first-try.png copy-only }}"
3,"^","^","{{ images/card-action-front-4-one-more.png copy-only }}"
2,"^","^","{{ images/card-action-front-5-steal-turn.png copy-only }}"
3,"^","^","{{ images/card-action-front-6-enter-the-zone.png copy-only }}"
2,"^","^","{{ images/card-action-front-7-psyche-out.png copy-only }}"
